Date/Time,kWh del int,kVARh del int,kWh rec int,kVARh rec int,Vll ab mean,Vll bc mean,Vll ca mean,I a mean,I b mean,I c mean,Vll avg mean,I avg mean
01-02-2023 12:15:00000,506.291779,10.434942,0.000000,0.001046,23279.691,23382.127,23311.789,50.814507,49.722866,50.055031,23324.539,50.197460
01-02-2023 12:30:00000,506.355072,11.377881,0.000000,0.000540,23283.963,23387.289,23317.123,50.827927,49.714893,50.043091,23329.457,50.195259
01-02-2023 12:45:00000,506.426605,7.966417,0.000000,0.025484,23279.676,23384.584,23313.559,50.845097,49.700298,50.070904,23325.949,50.205387
01-02-2023 13:00:00000,506.574707,12.750129,0.000000,0.000000,23279.322,23383.287,23312.723,50.871513,49.745193,50.072670,23325.117,50.229771
01-02-2023 13:15:00000,506.566620,15.814528,0.000000,0.000000,23275.326,23378.439,23309.602,50.898056,49.777283,50.061687,23321.119,50.245693
01-02-2023 13:30:00000,506.618530,23.984016,0.000000,0.000000,23280.076,23382.968750,23313.867,50.927677,49.821819,50.060356,23325.631,50.269958
01-02-2023 13:45:00000,506.777588,29.655302,0.000000,0.000000,23269.979,23373.512,23303.600,51.004810,49.893532,50.114208,23315.693,50.337475
01-02-2023 14:00:00000,506.660919,34.759876,0.000000,0.000000,23276.439,23380.322,23311.066,51.023888,49.907776,50.092251,23322.609,50.341267
01-02-2023 14:15:00000,506.602966,44.065376,0.000000,0.000000,23263.836,23366.768,23298.984,51.127171,50.034206,50.137295,23309.857,50.432892
01-02-2023 14:30:00000,506.437347,49.297398,0.000000,0.000000,23280.213,23384.254,23315.471,51.135094,50.026550,50.118881,23326.646,50.426857
01-02-2023 14:45:00000,506.414124,53.611320,0.000000,0.000000,23271.277,23374.061,23305.437500,51.190071,50.106323,50.167660,23316.916,50.487991
01-02-2023 15:00:00000,506.288788,59.699146,0.000000,0.000000,23264.781250,23366.695,23300.834,51.268211,50.208549,50.187206,23310.777,50.554657
01-02-2023 15:15:00000,506.342316,24.614161,0.000000,0.000000,23077.402,23180.850,23117.553,51.383659,50.261971,50.409866,23125.295,50.685207
01-02-2023 15:30:00000,506.316772,11.832634,0.000000,1.148923,23053.900,23159.027,23096.180,51.387566,50.217655,50.451420,23103.031250,50.685543
01-02-2023 15:45:00000,506.281158,0.944730,0.000000,7.471876,23046.664,23151.602,23088.598,51.377041,50.193176,50.529369,23095.609,50.699875
01-02-2023 16:00:00000,506.268646,0.681840,0.000000,8.910602,23051.035,23156.309,23093.545,51.380074,50.185631,50.530338,23100.301,50.698692
01-02-2023 16:15:00000,506.152527,1.272680,0.000000,19.721554,23056.982,23164.127,23098.961,51.406811,50.189701,50.630013,23106.687500,50.742188
01-02-2023 16:30:00000,506.223877,1.078735,0.000000,22.463688,23070.650,23177.504,23111.816,51.389572,50.176842,50.638996,23119.982,50.735142
01-02-2023 16:45:00000,506.227844,0.931830,0.000000,23.979118,23082.037,23187.723,23121.971,51.362991,50.172134,50.633026,23130.570,50.722759
01-02-2023 17:00:00000,506.139832,1.260847,0.000000,22.207945,23080.787,23183.768,23120.109,51.340702,50.193768,50.594894,23128.215,50.709812
01-02-2023 17:15:00000,506.137115,0.320115,0.000000,29.705093,23089.760,23192.916,23130.488,51.368141,50.201771,50.635487,23137.727,50.735149
01-02-2023 17:30:00000,506.100861,0.003308,0.000000,39.055695,23138.885,23241.055,23180.328,51.315380,50.140308,50.599854,23186.764,50.685188
01-02-2023 17:45:00000,506.091125,0.000000,0.000000,50.225060,23138.064,23239.115,23181.777,51.395161,50.215576,50.688122,23186.318,50.766266
01-02-2023 18:00:00000,506.089813,0.000000,0.000000,49.349800,23154.764,23254.693,23198.857,51.357162,50.186314,50.627563,23202.793,50.723682
